NAME NAME Blurry and spotty . Glad we pay every month for this service ! 	NAME NAME Blurry and spotty .<br> Glad we pay every month for this service !	2	-2	 NAME[0] NAME[0] Blurry[-1] and[0] spotty[0] [[Sentence=-2,1=word max, 1-5]] Glad[1] we[0] pay[0] every[0] month[0] for[0] this[0] service[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
Lol just got a new hairstyle its short and curly :3 VERY PUNK 	Lol just got a new hairstyle its short and curly curly VERY PUNK	2	-1	 Lol[1] just[0] got[0] a[0] new[0] hairstyle[0] its[0] short[0] and[0] curly[0][+1 Emoticon] VERY[0] PUNK[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Heard on radio this morning that the overweight issue in the U . S . is a result of not digesting GM crops . Seriously ?  96ozcoke ? ? ? 	Heard on radio this morning that the overweight issue in the U .<br> S .<br> is a result of not digesting GM crops .<br> Seriously ?<br>  96ozcoke ?<br> ?<br> ?	1	-2	 Heard[0] on[0] radio[0] this[0] morning[0] that[0] the[0] overweight[-1] issue[0] in[0] the[0] U[0] [[Sentence=-2,1=word max, 1-5]] S[0] [[Sentence=-1,1=word max, 1-5]] is[0] a[0] result[0] of[0] not[0] digesting[0] GM[0] crops[0] [[Sentence=-1,1=word max, 1-5]] Seriously[0] [[Sentence=-1,1=word max, 1-5]] 96ozcoke[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
Shocking ! ! HYPERLINK	Shocking !<br> !<br> HYPERLINK	1	-3	 Shocking[-2] [[Sentence=-3,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
Garrett finally smiled , for the first time in a long while . "Who's having the psychotic episode , now ? "  amwriting  scifi	Garrett finally smiled , for the first time in a long while .<br> "Who's having the psychotic episode , now ?<br> "  amwriting  scifi	3	-1	 Garrett[0] finally[0] smiled[2] for[0] the[0] first[0] time[0] in[0] a[0] long[0] while[0] [[Sentence=-1,3=word max, 1-5]] Who's[0] having[0] the[0] psychotic[0] episode[0] now[0] [[Sentence=-1,1=word max, 1-5]] amwriting[0] scifi[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
God I love rush hour on the CTA  peoplesuck	God I love rush hour on the CTA  peoplesuck	3	-1	 God[0] I[0] love[2] rush[0] hour[0] on[0] the[0] CTA[0] peoplesuck[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Sixers acquire Anthony , futre 2nd rnd pick from Rockets . Wait for '30 draft when PHI have 15 1st & amp;10 2nd rnd picks .  TrustTheProcess	Sixers acquire Anthony , futre 2nd rnd pick from Rockets .<br> Wait for '30 draft when PHI have 15 1st & amp;10 2nd rnd picks .<br>  TrustTheProcess	2	-1	 Sixers[0] acquire[0] Anthony[0] futre[0] 2nd[0] rnd[0] pick[0] from[0] Rockets[0] [[Sentence=-1,1=word max, 1-5]] Wait[0] for[0] '30[0] draft[0] when[0] PHI[0] have[0] 15[0] 1st[0] &[0] amp[0] ;10[0] 2nd[0] rnd[0] picks[0] [[Sentence=-1,1=word max, 1-5]] TrustTheProcess[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Ummm because cars are the way of the future . You can fit more people in a car than a train carriage . Derr . HYPERLINK	Um because cars are the way of the future .<br> You can fit more people in a car than a train carriage .<br> Der .<br> HYPERLINK	2	-1	 Ummm/Um[0][+0.6 MultipleLetters] because[0] cars[0] are[0] the[0] way[0] of[0] the[0] future[0] [[Sentence=-1,2=word max, 1-5]] You[0] can[0] fit[0] more[0] people[0] in[0] a[0] car[0] than[0] a[0] train[0] carriage[0] [[Sentence=-1,1=word max, 1-5]] Derr/Der[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
NAME how dare you stand up for the privacy of your customers !  IStandWithApple	NAME how dare you stand up for the privacy of your customers !<br>  IStandWithApple	1	-1	 NAME[0] how[0] dare[0] you[0] stand[0] up[0] for[0] the[0] privacy[0] of[0] your[0] customers[0] [[Sentence=-1,1=word max, 1-5]] IStandWithApple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME NAME i know u been a    this is what happens wen  NationalDrinkWineDay turns into lets finish all the wine day    	NAME NAME i know you been a    this is what happens wen  NationalDrinkWineDay turns into lets finish all the wine day   	1	-1	 NAME[0] NAME[0] i[0] know[0] u[0] been[0] a[0] this[0] is[0] what[0] happens[0] wen[0] NationalDrinkWineDay[0] turns[0] into[0] lets[0] finish[0] all[0] the[0] wine[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME nice header photo  D-RoseSucks  Savage       	NAME nice header photo  D-RoseSucks  Savage      	2	-3	 NAME[0] nice[1] header[0] photo[0] D[0] RoseSucks[0] Savage[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
NAME think it's enough for little richy pitino to keep his job ? 	NAME think it's enough for little richy pitino to keep his job ?	1	-3	 NAME[0] think[0] it's[0] enough[0] for[0] little[0] richy[0] pitino[-2] to[0] keep[0] his[0] job[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
My is so advanced that people take me seriously . Then they run . away . 	My is so advanced that people take me seriously .<br> Then they run .<br> away .	1	-1	 My[0] is[0] so[0] advanced[0] that[0] people[0] take[0] me[0] seriously[0] [[Sentence=-1,1=word max, 1-5]] Then[0] they[0] run[0] [[Sentence=-1,1=word max, 1-5]] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Don't forget to lubricate your 'opinions'  opinions  advice  humor  literally  f… HYPERLINK HYPERLINK	Don't forget to lubricate your 'opinions'  opinions  advice  humor  literally  f… HYPERLINK HYPERLINK	3	-1	 Don't[0] forget[0] to[0] lubricate[0] your[0] 'opinions'[0] opinions[0] advice[0] humor[2] literally[0] f…[0] HYPERLINK[0] HYPERLINK[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Doug is so helpful #TheFamily	Doug is so helpful #TheFamily	2	-1	 Doug[0] is[0] so[0] helpful[1] #TheFamily[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
NAME well done not delaying school . I mean , no one suggested this storm would be this bad . 	NAME well done not delaying school .<br> I mean , no one suggested this storm would be this bad .	1	-2	 NAME[0] well[0] done[0] not[0] delaying[0] school[0] [[Sentence=-1,1=word max, 1-5]] I[0] mean[0] no[0] one[0] suggested[0] this[0] storm[-1] would[0] be[0] this[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
I'm so happy NAME is back on twitter . All he's doing is giving his friend , NAME , stuff to talk about  stoked 	I'm so happy NAME is back on twitter .<br> All he's doing is giving his friend , NAME , stuff to talk about  stoked	2	-1	 I'm[0] so[0] happy[1] NAME[0] is[0] back[0] on[0] twitter[0] [[Sentence=-1,2=word max, 1-5]] All[0] he's[0] doing[0] is[0] giving[0] his[0] friend[1] NAME[0] stuff[0] to[0] talk[0] about[0] stoked[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
NAME do you think he will be forgiven just as he was by his wife when he was womanizing ? 	NAME do you think he will be forgiven just as he was by his wife when he was womanizing ?	2	-1	 NAME[0] do[0] you[0] think[0] he[0] will[0] be[0] forgiven[1] just[0] as[0] he[0] was[0] by[0] his[0] wife[0] when[0] he[0] was[0] womanizing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great day at work 	Great day at work	3	-1	 Great[2] day[0] at[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
#WrestleMania Hooray for traiding finishers ! 	#WrestleMania Hooray for traiding finishers !	1	-1	 #WrestleMania[0] Hooray[0] for[0] traiding[0] finishers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
But again anything can happen in a police call centre & amp; since they never opened it , we will never know ! HYPERLINK	But again anything can happen in a police call centre & amp; since they never opened it , we will never know !<br> HYPERLINK	1	-1	 But[0] again[0] anything[0] can[0] happen[0] in[0] a[0] police[0] call[0] centre[0] &[0] amp[0] since[0] they[0] never[0] opened[0] it[0] we[0] will[0] never[0] know[0] [[Sentence=-1,1=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
NAME & gt; Will it not be nice if this clown becomes the US president ? We will have  WW3 soon . . . . . How exciting :-) 	NAME & gt; Will it not be nice if this clown becomes the US president ?<br> We will have  WW3 soon .<br> .<br> .<br> .<br> .<br> How exciting exciting	4	-2	 NAME[0] &[0] gt[0] Will[0] it[0] not[0] be[0] nice[1][NegatedDueToPreviousWord] if[0] this[0] clown[0] becomes[0] the[0] US[0] president[0] [[Sentence=-2,1=word max, 1-5]] We[0] will[0] have[0] WW3[0] soon[0] [[Sentence=-1,1=word max, 1-5]] How[0] exciting[2][+1 Emoticon] [[Sentence=-1,4=word max, 1-5]][[[4,-2 max of sentences]]]
It's never the white man's problem . . its always somebody elses problem . .  WhyILovebeingwhite 	It's never the white man's problem .<br> .<br> its always somebody elses problem .<br> .<br>  WhyILovebeingwhite	1	-2	 It's[0] never[0] the[0] white[0] man's[0] problem[-1] [[Sentence=-2,1=word max, 1-5]] its[0] always[0] somebody[0] elses[0] problem[-1] [[Sentence=-2,1=word max, 1-5]] WhyILovebeingwhite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
The shark tooth ? NAME I think they're for sale at any coastal destination HYPERLINK	The shark tooth ?<br> NAME I think they're for sale at any coastal destination HYPERLINK	1	-2	 The[0] shark[-1] tooth[0] [[Sentence=-2,1=word max, 1-5]] NAME[0] I[0] think[0] they're[0] for[0] sale[0] at[0] any[0] coastal[0] destination[0] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
I love being at the wrong beach . . . Vero . . . Jensen Beach 	I love being at the wrong beach .<br> .<br> .<br> Vero .<br> .<br> .<br> Jensen Beach	3	-2	 I[0] love[2] being[0] at[0] the[0] wrong[-1] beach[0] [[Sentence=-2,3=word max, 1-5]] Vero[0] [[Sentence=-1,1=word max, 1-5]] Jensen[0] Beach[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
NAME he would make ONLY  14 million ? Good lord , help him land a contract ! 	NAME he would make ONLY  14 million ?<br> Good lord , help him land a contract !	2	-1	 NAME[0] he[0] would[0] make[0] ONLY[0] 14[0] million[0] [[Sentence=-1,1=word max, 1-5]] Good[1] lord[0] help[0] him[0] land[0] a[0] contract[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
The voice of reason here . . .  DumpTrump  RubioRising  Marcomentum HYPERLINK	The voice of reason here .<br> .<br> .<br>  DumpTrump  RubioRising  Marcomentum HYPERLINK	1	-2	 The[0] voice[0] of[0] reason[0] here[0] [[Sentence=-1,1=word max, 1-5]] DumpTrump[-1] RubioRising[0] Marcomentum[0] HYPERLINK[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Make the member like they a smart detectives , and its just scripted show , so lame . i know why they get low rating 	Make the member like they a smart detectives , and its just scripted show , so lame .<br> i know why they get low rating	2	-3	 Make[0] the[0] member[0] like[1] they[0] a[0] smart[1] detectives[0] and[0] its[0] just[0] scripted[0] show[0] so[0] lame[-2] [[Sentence=-3,2=word max, 1-5]] i[0] know[0] why[0] they[0] get[0] low[-1] rating[0] [[Sentence=-2,1=word max, 1-5]][[[2,-3 max of sentences]]]
My dm is broke like my phone . . . . . . . . .      	My dm is broke like my phone .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br>     	2	-2	 My[0] dm[0] is[0] broke[-1] like[1] my[0] phone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
NAME I get the feeling that nobody will ever be using these . Riiiiight ? HYPERLINK	NAME I get the feeling that nobody will ever be using these .<br> Right ?<br> HYPERLINK	2	-1	 NAME[0] I[0] get[0] the[0] feeling[0] that[0] nobody[0] will[0] ever[0] be[0] using[0] these[0] [[Sentence=-1,1=word max, 1-5]] Riiiiight/Right[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]] HYPERLINK[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
