index,(+ve word count) ,(-ve word count),(overall polarity),(times change in pol),(largest + cont),(largest - cont),(capital letters),(punctuation),emoji_count,laughter_exp_count,label
1,0,0,0,0,0,0,6,1,0,0,0
2,0,0,0,0,0,0,5,0,0,0,0
3,0,1,-1,0,0,1,1,0,0,0,0
4,0,3,-4,0,0,3,5,0,0,0,1
5,0,1,-1,0,0,1,7,1,0,0,0
6,0,2,-2,0,0,2,0,1,0,0,1
7,1,0,1,0,1,0,4,2,0,0,1
8,1,0,1,0,1,0,0,0,0,0,1
9,0,0,0,0,0,0,7,2,0,0,0
10,1,1,1,1,1,1,4,0,0,0,0
11,0,0,0,0,0,0,4,0,0,0,1
12,0,1,-1,0,0,1,3,0,0,0,0
13,1,0,1,0,1,0,4,0,0,0,1
14,0,0,0,0,0,0,4,0,0,0,0
15,0,1,-3,0,0,1,7,0,0,0,0
16,0,1,-1,0,0,1,2,2,0,0,1
17,2,0,2,0,2,0,3,2,0,0,0
18,0,0,0,0,0,0,13,1,0,0,0
19,2,1,0,1,2,1,1,0,0,0,1
20,0,0,0,0,0,0,8,0,0,0,0
21,0,1,-1,0,0,1,2,1,0,0,1
22,1,0,1,0,1,0,2,4,0,0,1
23,0,0,0,0,0,0,1,0,0,0,0
24,0,1,-1,0,0,1,3,0,0,0,1
25,1,1,0,1,1,1,6,0,0,0,0
26,3,0,4,0,3,0,4,0,0,0,0
27,2,2,-2,1,2,2,1,0,0,1,1
28,0,1,-1,0,0,1,3,0,0,0,0
29,0,0,0,0,0,0,4,3,0,0,1
30,0,0,0,0,0,0,9,0,0,0,0
31,0,1,-1,0,0,1,1,1,0,0,1
32,1,0,1,0,1,0,1,0,0,0,1
33,1,0,1,0,1,0,4,1,0,0,1
34,0,1,-1,0,0,1,2,0,0,0,1
35,0,0,0,0,0,0,9,0,0,0,0
36,2,0,4,0,2,0,4,1,0,0,1
37,0,0,0,0,0,0,5,1,0,0,1
38,1,0,1,0,1,0,5,0,0,0,0
39,1,0,1,0,1,0,5,1,0,0,0
40,0,0,0,0,0,0,10,1,0,0,1
41,0,1,-1,0,0,1,1,1,0,0,0
42,1,1,0,1,1,1,3,0,0,0,1
43,0,0,0,0,0,0,4,1,0,0,0
44,1,0,2,0,1,0,9,0,0,0,1
45,1,0,1,0,1,0,9,0,0,0,1
46,0,0,0,0,0,0,6,0,0,0,0
47,0,0,0,0,0,0,1,0,0,0,0
48,0,1,-1,0,0,1,10,0,0,0,1
49,0,0,0,0,0,0,15,0,0,0,0
50,1,0,3,0,1,0,0,0,0,0,1
51,0,0,0,0,0,0,6,0,0,0,0
52,1,2,-1,1,1,2,10,0,0,0,0
53,0,0,0,0,0,0,8,0,0,0,0
54,0,0,0,0,0,0,3,0,0,0,0
55,0,0,0,0,0,0,4,1,3,0,1
56,1,0,1,0,1,0,0,0,0,0,1
57,0,0,0,0,0,0,7,0,0,0,0
58,1,0,1,0,1,0,7,2,0,0,1
59,0,0,0,0,0,0,3,0,0,0,1
60,0,0,0,0,0,0,13,2,0,0,0
61,3,0,4,0,3,0,4,0,0,0,1
62,0,2,-2,0,0,2,4,0,0,0,0
63,1,1,-1,1,1,1,4,1,0,0,1
64,0,1,-1,0,0,1,7,1,0,0,0
65,0,0,0,0,0,0,4,0,0,0,1
66,0,1,-2,0,0,1,3,0,0,0,0
67,0,0,0,0,0,0,3,1,0,0,0
68,1,0,2,0,1,0,2,0,0,0,0
69,0,1,-3,0,0,1,2,0,0,0,1
70,0,0,0,0,0,0,14,0,0,0,0
71,1,0,1,0,1,0,5,0,0,0,0
72,1,0,1,0,1,0,8,0,0,0,1
73,1,0,2,0,1,0,2,1,0,0,0
74,0,1,-1,0,0,1,9,0,0,0,0
75,0,1,-1,0,0,1,8,0,0,0,1
76,0,0,0,0,0,0,2,0,0,0,1
77,0,0,0,0,0,0,2,0,0,0,0
78,0,0,0,0,0,0,18,0,0,0,0
79,0,1,-2,0,0,1,1,0,0,0,0
80,0,0,0,0,0,0,3,1,0,0,1
81,1,1,1,1,1,1,8,0,0,0,1
82,4,0,7,0,4,0,9,3,0,0,1
83,1,0,2,0,1,0,3,0,0,0,0
84,0,0,0,0,0,0,7,0,0,0,0
85,1,0,1,0,1,0,2,1,0,0,1
86,1,0,1,0,1,0,6,0,0,0,1
87,0,0,0,0,0,0,7,2,0,0,0
88,2,0,4,0,2,0,1,0,0,0,0
89,2,2,1,1,2,2,4,4,0,0,1
90,2,0,2,0,2,0,4,0,0,0,1
91,1,0,1,0,1,0,8,1,0,0,1
92,0,0,0,0,0,0,5,0,0,0,0
93,2,0,3,0,2,0,80,0,0,0,1
94,0,0,0,0,0,0,1,0,0,0,0
95,1,2,-4,1,1,2,6,5,0,0,1
96,0,0,0,0,0,0,4,0,0,0,0
97,0,0,0,0,0,0,3,0,0,0,0
98,0,0,0,0,0,0,3,0,0,0,1
99,0,0,0,0,0,0,3,0,0,0,0
100,1,1,1,1,1,1,9,0,3,0,1
101,0,0,0,0,0,0,4,0,0,0,0
102,0,0,0,0,0,0,4,0,0,0,1
103,1,1,0,1,1,1,3,0,0,0,1
104,1,0,1,0,1,0,9,0,0,0,0
105,0,2,-2,0,0,2,14,0,0,0,0
106,1,0,1,0,1,0,5,0,0,0,1
107,1,0,1,0,1,0,1,0,0,0,1
108,0,0,0,0,0,0,1,1,0,0,1
109,0,1,-2,0,0,1,3,1,0,0,1
110,0,0,0,0,0,0,7,0,0,0,0
111,0,0,0,0,0,0,8,0,0,0,1
112,0,1,-1,0,0,1,11,1,0,0,0
113,1,1,-1,1,1,1,4,2,0,0,1
114,0,0,0,0,0,0,2,0,0,0,0
115,1,1,1,1,1,1,5,1,0,0,0
116,2,3,0,1,2,3,5,0,0,0,1
117,2,1,0,1,2,1,6,0,0,0,1
118,1,0,1,0,1,0,2,0,0,0,0
119,0,0,0,0,0,0,1,2,0,0,0
120,0,1,-1,0,0,1,7,4,0,0,1
121,1,0,2,0,1,0,2,2,0,0,1
122,0,0,0,0,0,0,10,0,0,0,0
123,2,0,3,0,2,0,1,2,0,0,1
124,2,1,4,1,2,1,6,0,0,0,1
125,1,0,1,0,1,0,4,0,0,0,1
126,1,0,1,0,1,0,11,0,0,0,0
127,0,0,0,0,0,0,1,0,0,0,0
128,1,0,2,0,1,0,7,2,0,0,1
129,2,0,2,0,2,0,2,0,0,0,0
130,1,0,1,0,1,0,2,0,0,0,0
131,0,0,0,0,0,0,5,0,1,0,0
132,1,0,2,0,1,0,3,0,1,0,0
133,0,0,0,0,0,0,2,0,0,0,0
134,0,0,0,0,0,0,3,1,0,0,1
135,1,0,1,0,1,0,3,3,0,0,1
136,1,0,2,0,1,0,3,1,0,0,0
137,0,1,-1,0,0,1,1,0,0,0,0
138,1,0,2,0,1,0,2,4,0,0,1
139,0,0,0,0,0,0,1,0,0,0,0
140,0,0,0,0,0,0,3,1,0,0,1
141,0,1,-1,0,0,1,0,0,1,0,1
142,1,0,2,0,1,0,2,2,0,0,1
143,1,0,1,0,1,0,15,1,0,1,1
144,0,1,-1,0,0,1,13,0,0,0,0
145,0,0,0,0,0,0,2,0,0,0,0
146,3,0,4,0,3,0,3,0,0,0,1
147,2,0,3,0,2,0,31,0,0,0,1
148,0,0,0,0,0,0,3,0,0,0,0
149,2,0,2,0,2,0,9,1,1,0,1
150,0,0,0,0,0,0,4,0,0,0,0
151,0,0,0,0,0,0,15,0,0,0,1
152,2,0,4,0,2,0,3,0,0,0,0
153,1,0,2,0,1,0,5,0,0,0,1
154,2,0,3,0,2,0,2,0,0,0,1
155,0,0,0,0,0,0,10,0,1,0,1
156,0,1,-1,0,0,1,5,0,0,0,1
157,0,0,0,0,0,0,1,0,0,0,1
158,0,0,0,0,0,0,1,0,0,0,1
159,0,0,0,0,0,0,5,0,0,0,0
160,1,0,1,0,1,0,3,0,0,0,1
161,1,0,1,0,1,0,10,0,0,1,1
162,0,0,0,0,0,0,13,0,0,0,0
163,1,1,0,1,1,1,9,1,0,0,1
164,1,0,2,0,1,0,1,0,0,0,0
165,2,1,2,1,2,1,15,0,0,0,0
166,0,0,0,0,0,0,8,0,0,0,0
167,2,0,2,0,2,0,6,0,0,0,0
168,1,0,2,0,1,0,6,0,0,0,0
169,0,0,0,0,0,0,13,0,0,0,0
170,2,0,3,0,2,0,4,0,0,0,1
171,0,1,-1,0,0,1,0,0,0,0,0
172,0,0,0,0,0,0,1,0,0,0,0
173,0,0,0,0,0,0,6,1,0,0,0
174,2,0,2,0,2,0,8,0,0,0,1
175,0,1,-1,0,0,1,8,0,0,0,1
176,0,1,-1,0,0,1,8,0,0,0,1
177,1,0,2,0,1,0,2,2,0,0,1
178,0,1,-1,0,0,1,2,0,0,0,1
179,0,3,-6,0,0,3,2,0,0,0,1
180,1,1,1,1,1,1,4,4,0,0,1
181,0,0,0,0,0,0,15,1,0,0,0
182,1,0,1,0,1,0,1,0,0,0,1
183,2,0,3,0,2,0,7,0,0,0,1
184,0,2,-4,0,0,2,9,1,0,0,0
185,0,2,-2,0,0,2,7,0,0,0,0
186,0,2,-6,0,0,2,6,1,0,0,1
187,0,0,0,0,0,0,15,3,0,0,1
188,0,1,-2,0,0,1,2,0,0,0,0
189,0,0,0,0,0,0,3,3,0,0,1
190,1,0,1,0,1,0,1,0,0,0,1
191,1,1,-2,1,1,1,1,1,0,0,1
192,0,0,0,0,0,0,3,0,0,0,0
193,0,0,0,0,0,0,25,0,0,0,1
194,0,1,-2,0,0,1,1,2,0,0,1
195,2,1,2,2,1,1,1,1,0,0,1
196,1,3,-6,1,1,3,9,2,0,0,0
197,0,1,-2,0,0,1,3,2,0,0,1
198,0,0,0,0,0,0,0,0,0,0,1
199,1,0,1,0,1,0,6,0,0,0,0
200,2,0,4,0,2,0,2,1,0,0,1
201,0,1,-1,0,0,1,3,2,0,0,1
202,0,0,0,0,0,0,13,1,0,0,0
203,0,0,0,0,0,0,8,0,0,0,0
204,2,0,2,0,2,0,2,1,0,0,1
205,1,0,2,0,1,0,1,0,0,0,0
206,0,1,-3,0,0,1,4,0,0,0,1
207,1,1,0,1,1,1,1,0,0,0,0
208,1,0,1,0,1,0,16,1,0,0,0
209,2,0,3,0,2,0,14,0,1,0,1
210,0,0,0,0,0,0,3,2,1,0,0
211,0,1,-1,0,0,1,0,0,2,0,0
212,1,2,-2,1,1,2,4,5,0,0,1
213,1,1,0,1,1,1,1,0,0,0,0
214,0,0,0,0,0,0,5,4,0,0,1
215,1,0,1,0,1,0,0,0,0,0,1
216,1,0,1,0,1,0,3,0,0,0,0
217,0,0,0,0,0,0,2,0,1,0,1
218,0,2,-2,0,0,2,16,2,0,0,0
219,1,5,-7,2,1,3,3,0,0,0,1
220,1,1,0,1,1,1,1,0,0,0,1
221,1,0,1,0,1,0,8,2,0,0,0
222,0,0,0,0,0,0,1,0,0,0,0
223,0,1,-1,0,0,1,3,0,0,0,0
224,0,1,-2,0,0,1,1,0,0,0,0
225,0,1,-1,0,0,1,5,1,0,0,0
226,2,0,3,0,2,0,9,1,0,0,0
227,0,0,0,0,0,0,9,0,0,0,0
228,0,0,0,0,0,0,2,1,0,0,0
229,0,0,0,0,0,0,5,0,0,0,1
230,0,1,-1,0,0,1,0,0,0,0,0
231,1,0,1,0,1,0,12,2,0,0,1
232,2,1,1,2,1,1,2,4,1,0,1
233,1,0,1,0,1,0,6,0,0,0,0
234,0,0,0,0,0,0,6,0,0,0,0
235,1,0,1,0,1,0,13,2,0,0,0
236,3,0,3,0,3,0,8,9,0,0,1
237,0,3,-6,0,0,3,14,5,0,0,1
238,0,0,0,0,0,0,4,0,0,0,0
239,0,1,-2,0,0,1,5,2,0,0,1
240,1,0,2,0,1,0,4,1,0,0,1
241,1,1,-2,1,1,1,5,0,0,0,0
242,0,1,-1,0,0,1,2,0,0,0,0
243,1,0,2,0,1,0,1,1,0,0,1
244,2,0,4,0,2,0,2,0,0,0,1
245,0,4,-6,0,0,4,9,3,0,0,1
246,1,1,-1,1,1,1,10,2,0,0,1
247,1,0,2,0,1,0,0,0,0,0,0
248,0,1,-1,0,0,1,12,0,0,0,0
249,1,0,3,0,1,0,7,0,0,0,1
250,0,0,0,0,0,0,14,0,0,0,1
251,1,0,1,0,1,0,11,1,0,0,1
252,0,0,0,0,0,0,1,1,0,0,0
253,1,1,1,1,1,1,2,0,0,0,1
254,0,1,-1,0,0,1,62,2,1,0,1
255,0,1,-1,0,0,1,0,2,0,0,0
256,0,0,0,0,0,0,21,0,0,0,1
257,4,0,6,0,4,0,6,0,0,0,0
258,1,0,2,0,1,0,2,2,0,0,0
259,0,0,0,0,0,0,0,2,0,0,1
260,1,1,0,1,1,1,4,1,0,0,1
261,1,0,1,0,1,0,7,0,0,0,0
262,1,2,-1,1,1,2,6,0,0,0,0
263,0,0,0,0,0,0,13,0,0,0,0
264,1,0,2,0,1,0,6,1,0,0,1
265,0,0,0,0,0,0,5,0,0,0,0
266,1,0,1,0,1,0,0,3,0,0,0
267,0,2,-3,0,0,2,2,0,0,0,1
268,0,0,0,0,0,0,9,2,0,0,0
269,1,0,1,0,1,0,0,0,0,0,1
270,0,0,0,0,0,0,4,0,0,0,0
271,0,0,0,0,0,0,2,0,0,0,0
272,0,1,-1,0,0,1,0,2,0,0,1
273,1,0,1,0,1,0,0,0,0,0,1
274,0,0,0,0,0,0,2,0,0,0,1
275,0,2,-2,0,0,2,6,0,0,0,0
276,1,0,1,0,1,0,1,2,0,0,1
277,0,0,0,0,0,0,8,1,0,0,1
278,1,1,0,1,1,1,3,0,0,0,0
279,0,0,0,0,0,0,1,0,0,0,0
280,0,1,-1,0,0,1,10,0,0,0,0
281,0,1,-1,0,0,1,5,0,0,0,1
282,1,0,2,0,1,0,1,0,0,0,1
283,0,0,0,0,0,0,6,0,0,0,1
284,0,1,-1,0,0,1,1,1,0,0,1
285,0,0,0,0,0,0,0,0,0,0,0
286,1,0,2,0,1,0,8,0,1,0,1
287,1,1,0,1,1,1,20,4,0,0,1
288,2,2,0,1,2,2,8,0,1,0,1
289,2,0,3,0,2,0,13,0,0,0,0
290,2,0,3,0,2,0,9,0,0,0,0
291,2,0,4,0,2,0,2,0,1,0,0
292,1,1,0,1,1,1,3,0,0,0,0
293,1,1,0,1,1,1,7,2,0,0,1
294,0,0,0,0,0,0,4,0,0,0,0
295,0,2,-2,0,0,2,9,0,0,0,0
296,1,1,-1,1,1,1,8,0,0,0,0
297,1,0,2,0,1,0,20,2,0,0,1
298,1,0,2,0,1,0,2,0,0,0,0
